SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1954,1954.5,50-54,50,5,0.078,0.016,0.147
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,15-19,15,5,5.895,1.238,25.617
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,20-24,20,5,111.787,23.48,480.674
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,25-29,25,5,181.29,38.079,705.184
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,30-34,30,5,113.618,23.865,384.358
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,35-39,35,5,49.939,10.489,139.792
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,40-44,40,5,12.773,2.683,33.7
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,45-49,45,5,0.715,0.15,1.608
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1955,1955.5,50-54,50,5,0.075,0.016,0.144
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,15-19,15,5,5.037,1.128,22.174
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,20-24,20,5,107.844,24.139,468.967
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,25-29,25,5,176.24,39.448,696.614
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,30-34,30,5,102.791,23.008,358.743
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,35-39,35,5,43.628,9.765,125.563
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,40-44,40,5,10.621,2.377,28.401
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,45-49,45,5,0.532,0.119,1.247
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1956,1956.5,50-54,50,5,0.072,0.016,0.139
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,15-19,15,5,4.115,0.998,18.484
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,20-24,20,5,101.429,24.589,443.68
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,25-29,25,5,170.53,41.34,685.677
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,30-34,30,5,91.503,22.182,329.262
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1957,1957.5,35-39,35,5,36.16,8.766,107.236
